City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
0,port alfred,-33.5906,26.891,77.18,47,67,1.99,ZA
1,adamstown,-25.066,-130.1015,68.38,69,81,23.76,PN
2,puerto aysen,-45.4,-72.7,35.8,98,100,2.26,CL
3,bengkulu,-3.8004,102.2655,79.32,84,52,7.87,ID
4,touros,-5.1989,-35.4608,81.7,67,24,15.17,BR
5,kijang,35.2442,129.2139,80.33,84,10,4.68,KR
6,edinburgh of the seven seas,-37.0676,-12.3116,49.46,58,100,18.28,SH
7,cody,44.5263,-109.0565,64.62,38,0,3.44,US
8,fort mcmurray,56.7268,-111.381,53.19,82,75,8.05,CA
9,tiksi,71.6872,128.8694,40.44,84,55,1.5,RU
10,grytviken,-54.2811,-36.5092,28.51,85,85,9.8,GS
11,port-aux-francais,-49.35,70.2167,37.71,84,86,37.69,TF
12,ushuaia,-54.8,-68.3,29.86,74,40,8.05,AR
13,tvoroyri,61.5556,-6.8111,49.53,77,92,7.63,FO
14,invercargill,-46.4,168.35,43.54,84,100,22.55,NZ
15,alavus,62.5833,23.6167,76.33,45,63,2.04,FI
16,saipan,15.1355,145.701,81.3,100,75,12.66,MP
17,minas de marcona,-15.2119,-75.1103,52.65,89,70,9.22,PE
18,codrington,-38.2667,141.9667,46.81,85,100,9.13,AU
19,yellowknife,62.456,-114.3525,63.12,59,75,16.11,CA
20,aleksandrov gay,50.147,48.5704,86.85,33,11,4.25,RU
21,lerwick,60.1545,-1.1494,53.6,74,93,14.43,GB
22,sitka,57.0531,-135.33,57.09,94,100,5.75,US
23,hithadhoo,-0.6,73.0833,83.3,78,96,15.95,MV
24,paracuru,-3.41,-39.0306,83.1,52,21,16.33,BR
25,hermanus,-34.4187,19.2345,55.8,67,100,2.51,ZA
26,agustin codazzi,10.0341,-73.2361,76.89,82,100,2.19,CO
27,ribeira grande,38.5167,-28.7,73.8,73,40,8.05,PT
28,port lincoln,-34.7333,135.8667,54.25,74,0,11.3,AU
29,weno,7.4515,151.8468,82.35,89,100,0.0,FM
30,saalfelden am steinernen meer,47.4268,12.848,62.35,92,97,4.88,AT
31,saldanha,-33.0117,17.9442,58.66,77,83,17.81,ZA
32,saint-pierre,-21.3393,55.4781,74.88,78,75,11.5,RE
33,olonkinbyen,70.9221,-8.7187,41.14,94,100,10.65,SJ
34,kapuskasing,49.4169,-82.4331,59.09,72,100,6.91,CA
35,idrinskoye,54.3708,92.1358,69.51,73,89,4.76,RU
36,ilulissat,69.2167,-51.1,44.62,81,20,5.75,GL
37,puerto ayora,-0.7393,-90.3518,75.54,94,20,8.01,EC
38,puerto natales,-51.7236,-72.4875,25.47,95,66,3.44,CL
39,udachny,66.4167,112.4,65.07,60,100,4.32,RU
40,iqaluit,63.7506,-68.5145,47.93,81,75,3.44,CA
41,kuta,-8.7233,115.1723,77.0,83,20,7.0,ID
42,tralee,52.2704,-9.7026,62.85,88,100,13.8,IE
43,blackmans bay,-43.0167,147.3167,51.93,84,100,5.17,AU
44,bongouanou,6.6486,-4.1992,84.25,64,86,3.78,CI
45,tokar,18.4254,37.729,112.98,16,59,18.25,SD
46,jabalpur,23.167,79.9501,95.85,49,40,8.05,IN
47,mugia,43.1041,-9.2179,82.9,82,25,13.71,ES
48,argo,37.6333,22.7333,110.43,13,4,10.09,GR
49,lorengau,-2.0226,147.2712,83.01,76,79,16.28,PG
50,jamestown,42.097,-79.2353,71.55,94,20,6.91,US
51,petropavlovsk-kamchatsky,53.0452,158.6483,57.79,94,0,2.24,RU
52,tamanrasset,22.785,5.5228,96.71,9,0,8.05,DZ
53,labrador city,52.9463,-66.9114,62.51,82,75,3.44,CA
54,waitangi,-43.9535,-176.5597,51.03,65,100,24.0,NZ
55,padang,-0.9492,100.3543,82.45,86,100,3.69,ID
56,richards bay,-28.783,32.0377,75.22,53,100,15.97,ZA
57,punta arenas,-53.15,-70.9167,30.06,82,22,9.28,CL
58,papatowai,-46.5619,169.4708,40.21,88,100,19.08,NZ
59,east london,-33.0153,27.9116,68.94,56,0,3.44,ZA
60,puerto baquerizo moreno,-0.9,-89.6,75.74,83,91,13.44,EC
61,karratha,-20.7377,116.8463,70.02,65,90,5.91,AU
